"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmed5.2",0.6506424050067,0.0643062782059085,0.872,0.875,1,"2","Tmed5"
"Nufip2.2",0.650751343467287,-0.127284571945344,0.644,0.651,1,"2","Nufip2"
"Adpgk.2",0.651007383615301,-0.122318052514347,0.617,0.604,1,"2","Adpgk"
"Lzts1.2",0.651078691872335,1.2838272241197,0.005,0.003,1,"2","Lzts1"
"1700034P13Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","1700034P13Rik"
"Mcmdc2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Mcmdc2"
"Aff3.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Aff3"
"Rufy4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rufy4"
"Col4a4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Col4a4"
"Rbm44.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rbm44"
"Ramp1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ramp1"
"Gm26720.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm26720"
"9430060I03Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","9430060I03Rik"
"Ikbke.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ikbke"
"Gm38394.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm38394"
"Gm19705.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm19705"
"2810414N06Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","2810414N06Rik"
"Rnasel.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rnasel"
"Angptl1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Angptl1"
"Serpinc1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Serpinc1"
"Dnm3os.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Dnm3os"
"Gm26523.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm26523"
"Gm15853.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm15853"
"Gm26620.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm26620"
"F11r.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","F11r"
"A430110L20Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","A430110L20Rik"
"Gm28172.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm28172"
"Gm13199.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm13199"
"Gm10848.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm10848"
"Ccdc187.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ccdc187"
"Ly75.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ly75"
"Scn1a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Scn1a"
"Scn7a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Scn7a"
"Mettl5os.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Mettl5os"
"Dlx2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Dlx2"
"Pde11a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Pde11a"
"Chst1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Chst1"
"Cd59b.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cd59b"
"Olfr1316.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Olfr1316"
"Jmjd7.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Jmjd7"
"Pak7.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Pak7"
"3300002I08Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","3300002I08Rik"
"Ttll9.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ttll9"
"Bpifb3.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Bpifb3"
"Bpifb5.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Bpifb5"
"Ghrh.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ghrh"
"Gm16751.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm16751"
"Zfp972.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Zfp972"
"Fndc11.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Fndc11"
"Zfp300.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Zfp300"
"Hprt.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Hprt"
"Arhgef6.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Arhgef6"
"Xlr3c.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Xlr3c"
"Pabpc5.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Pabpc5"
"Ptchd1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ptchd1"
"Map3k15.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Map3k15"
"Naaladl2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Naaladl2"
"Kcnmb2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Kcnmb2"
"Il2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Il2"
"Gm42921.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm42921"
"Slitrk3.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Slitrk3"
"AI849053.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","AI849053"
"Tmem79.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Tmem79"
"Efna1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Efna1"
"Hist2h2be.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Hist2h2be"
"Prok1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Prok1"
"Sgms2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Sgms2"
