"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ints10",0.773980829294297,-0.0211814958594894,0.597,0.61,1,"0","Ints10"
"Snx19",0.774358404107944,0.00815066800350794,0.302,0.313,1,"0","Snx19"
"Aarsd1",0.775029413137362,-0.014569408496576,0.158,0.165,1,"0","Aarsd1"
"Tcf7l2",0.775044469078494,0.0511590027477937,0.82,0.841,1,"0","Tcf7l2"
"Kras",0.775826333737252,0.0343430656069681,0.969,0.971,1,"0","Kras"
"Prox1os",0.77584308457881,-0.165246525345609,0.052,0.055,1,"0","Prox1os"
"Arhgap26",0.775906727306646,-0.0749050717240505,0.226,0.231,1,"0","Arhgap26"
"Flii",0.776072654738095,0.073201678741571,0.635,0.652,1,"0","Flii"
"Axin2",0.77612771046561,0.0701176586715768,0.325,0.337,1,"0","Axin2"
"Cd68",0.776169172102144,-0.0945025090588443,0.071,0.075,1,"0","Cd68"
"Nipsnap2",0.776419009975466,0.0480623588680039,0.562,0.559,1,"0","Nipsnap2"
"Cacnb1",0.776429762035764,0.0991243280509986,0.143,0.139,1,"0","Cacnb1"
"Ptprd",0.776758067984676,0.0290278742800141,0.688,0.72,1,"0","Ptprd"
"Otud6b",0.776823673057062,0.0562881301407406,0.708,0.731,1,"0","Otud6b"
"Armc5",0.777227987099632,0.0134404001660332,0.435,0.454,1,"0","Armc5"
"Rabep2",0.777587292019677,0.0672598293957476,0.36,0.379,1,"0","Rabep2"
"Ets2",0.777848379084498,0.00490419698285371,0.355,0.368,1,"0","Ets2"
"Foxk1",0.777957029002716,0.00854980897738855,0.255,0.264,1,"0","Foxk1"
"Vps9d1",0.778139315248119,-0.0471567036755891,0.373,0.381,1,"0","Vps9d1"
"Aurkaip1",0.778489634217246,-0.00223921148289907,1,1,1,"0","Aurkaip1"
"Gsn",0.778800319813601,0.0464217078692669,0.416,0.407,1,"0","Gsn"
"Sgtb",0.779267887824651,0.172373310081637,0.172,0.17,1,"0","Sgtb"
"Tor1aip2",0.77944455527989,9.7033564799176e-05,0.851,0.874,1,"0","Tor1aip2"
"Gm21988",0.779736096766694,-0.000763608971545482,0.238,0.247,1,"0","Gm21988"
"Zfp456",0.780139680847657,-0.20043595380791,0.056,0.059,1,"0","Zfp456"
"Dcaf10",0.780360763020237,0.0800916096592552,0.516,0.52,1,"0","Dcaf10"
"Lrp6",0.780576739816448,0.0313510853204816,0.735,0.758,1,"0","Lrp6"
"Pts",0.780657682537549,0.0349939906312827,0.482,0.485,1,"0","Pts"
"Ulk2",0.780699452341654,0.00870544403068219,0.41,0.419,1,"0","Ulk2"
"Isl2",0.780742102543893,-0.0198637081660884,0.109,0.115,1,"0","Isl2"
"Fam241a",0.780987307860208,0.113318209633752,0.125,0.121,1,"0","Fam241a"
"Ccdc102a",0.781453657168981,0.042197259966163,0.602,0.597,1,"0","Ccdc102a"
"Rbbp5",0.781604309848984,-0.073967952469997,0.299,0.304,1,"0","Rbbp5"
"Robo2",0.781939513979368,0.082881173591815,0.705,0.736,1,"0","Robo2"
"5430427N15Rik",0.78298950431361,-0.144940841216206,0.033,0.035,1,"0","5430427N15Rik"
"6720489N17Rik",0.783371022465817,0.0219564675285384,0.118,0.112,1,"0","6720489N17Rik"
"Fblim1",0.783632673506003,-0.0796837943472992,0.082,0.086,1,"0","Fblim1"
"Prss36",0.783675996104258,0.0248294091501382,0.362,0.377,1,"0","Prss36"
"Etnk1",0.783765829289726,-0.0156674523619378,0.768,0.784,1,"0","Etnk1"
"Hdac8",0.784377108190231,0.0661761229006028,0.328,0.324,1,"0","Hdac8"
"Fig4",0.784875724553067,0.0185738281338861,0.324,0.339,1,"0","Fig4"
"Unc50",0.784936525892144,0.0154011768336935,0.946,0.96,1,"0","Unc50"
"Pja2",0.785064898318841,0.00110155103905463,0.875,0.874,1,"0","Pja2"
"Tspan11",0.785407649624267,-0.0684404079979193,0.268,0.273,1,"0","Tspan11"
"Ube3c",0.785934154641053,0.0555682499583554,0.813,0.817,1,"0","Ube3c"
"Ap5b1",0.786209928125548,0.0446765440286221,0.061,0.057,1,"0","Ap5b1"
"Itsn2",0.786326513108345,0.0320919153075247,0.537,0.531,1,"0","Itsn2"
"Slc39a11",0.786714186066603,0.0388302860929346,0.176,0.172,1,"0","Slc39a11"
"Pomk",0.786882014602479,0.0101617935479887,0.335,0.346,1,"0","Pomk"
"Zfp418",0.787094068698504,0.0446765440286221,0.04,0.037,1,"0","Zfp418"
"AW554918",0.787256740916779,0.0219564675285384,0.178,0.185,1,"0","AW554918"
"Usp22",0.787377996635727,0.0325125769097827,0.865,0.874,1,"0","Usp22"
"Ift22",0.787758068551139,0.039362744132154,0.851,0.888,1,"0","Ift22"
"Tmem128",0.787823982521988,0.00235903019374462,0.896,0.91,1,"0","Tmem128"
"Tspyl2",0.788170301219182,0.124804875120289,0.391,0.419,1,"0","Tspyl2"
"Megf10",0.78847109880871,-0.0232622846279535,0.353,0.361,1,"0","Megf10"
"Vat1",0.788529968867296,-0.0487424847960447,0.569,0.586,1,"0","Vat1"
"Tbl1xr1",0.788755268142425,0.0470322789940669,0.84,0.852,1,"0","Tbl1xr1"
"Pi4k2b",0.788808905120443,0.0384445903171076,0.318,0.311,1,"0","Pi4k2b"
"D130020L05Rik",0.788929897007866,0.0204729763532079,0.262,0.271,1,"0","D130020L05Rik"
"Hebp2",0.789112744861238,0.0431210775265809,0.065,0.062,1,"0","Hebp2"
"Ubac1",0.789272565878876,0.00167302511373457,0.831,0.861,1,"0","Ubac1"
"Arhgef17",0.789406058953708,0.000326451556996066,0.181,0.187,1,"0","Arhgef17"
"Arhgef9",0.789527668755512,-0.0413922792316517,0.705,0.687,1,"0","Arhgef9"
"Setdb1",0.789900717379659,0.0901817108358179,0.621,0.656,1,"0","Setdb1"
"Ccni",0.790369507935779,0.0301245476921359,0.989,0.987,1,"0","Ccni"
"Trps1",0.790536726122667,0.0531423187984539,0.881,0.901,1,"0","Trps1"
"Fam168b",0.790568367990331,0.0236681881654359,0.899,0.921,1,"0","Fam168b"
"Klhl28",0.79079768305146,0.112721931451721,0.29,0.291,1,"0","Klhl28"
"Dhcr24",0.79084855178421,0.0463406261554975,0.721,0.753,1,"0","Dhcr24"
"Frs2",0.790929928609625,0.0247018442673558,0.47,0.487,1,"0","Frs2"
"Pcsk7",0.79108941371667,-0.0273712448350301,0.293,0.3,1,"0","Pcsk7"
"Slc16a4",0.79109269377652,-0.0417382077888511,0.075,0.079,1,"0","Slc16a4"
"Stk11ip",0.791258398401472,-0.00233644577340542,0.16,0.154,1,"0","Stk11ip"
"Sipa1l1",0.791453170337528,-0.00156164320955832,0.762,0.811,1,"0","Sipa1l1"
"Ammecr1l",0.79205239149551,0.0373252158121762,0.773,0.808,1,"0","Ammecr1l"
"Rev1",0.792151616614336,0.0432870247116087,0.557,0.584,1,"0","Rev1"
"Clcn5",0.792307318553924,0.0354523100127613,0.57,0.588,1,"0","Clcn5"
"Gm15860",0.792677981325631,0.0424205700882538,0.045,0.042,1,"0","Gm15860"
"Caprin2",0.792808755342465,0.00815066800350794,0.224,0.218,1,"0","Caprin2"
"Ppp1r21",0.793318429505391,0.0466353970666789,0.358,0.374,1,"0","Ppp1r21"
"Gpr155",0.79363244551108,0.0405721456958856,0.074,0.07,1,"0","Gpr155"
"Dctn6",0.794058079264736,0.0290616604215846,0.856,0.866,1,"0","Dctn6"
"Pik3ca",0.794154440073989,0.113534619300534,0.709,0.76,1,"0","Pik3ca"
"Btbd9",0.794843306932018,0.0387622449600364,0.737,0.76,1,"0","Btbd9"
"Trappc3",0.794947531069799,-0.00402001820018172,0.947,0.956,1,"0","Trappc3"
"Trnp1",0.795051979516178,0.0434896290781794,0.079,0.075,1,"0","Trnp1"
"Socs1",0.795223911798769,0.05895067501074,0.049,0.046,1,"0","Socs1"
"Rbm4b",0.795319651627616,-0.00219667077118313,0.768,0.793,1,"0","Rbm4b"
"Tctn3",0.795356661971931,-0.0710195454300999,0.192,0.196,1,"0","Tctn3"
"Wdyhv1",0.795457283175356,-0.0734105154514801,0.239,0.244,1,"0","Wdyhv1"
"Pcdhb20",0.795487334752499,-0.115044462577265,0.14,0.143,1,"0","Pcdhb20"
"Ythdc1",0.795974669733129,0.00766597287350335,0.88,0.905,1,"0","Ythdc1"
"Nt5dc3",0.796108747657051,0.0511028131880547,0.327,0.339,1,"0","Nt5dc3"
"Gad1",0.796215926913432,-0.20043595380791,0.061,0.064,1,"0","Gad1"
"Zc3h18",0.796386701565902,0.0266435900427514,0.786,0.83,1,"0","Zc3h18"
"Trim12c",0.796755792618811,0.102126816212521,0.067,0.064,1,"0","Trim12c"
"Suclg1",0.797030925615917,0.0092436518634611,1,1,1,"0","Suclg1"
"Gm26660",0.79757321711718,-0.00578852295436594,0.065,0.062,1,"0","Gm26660"
"6430550D23Rik",0.797836472534468,-0.136305616388194,0.043,0.046,1,"0","6430550D23Rik"
"4933434E20Rik",0.798565056076016,0.00231308267858621,0.901,0.916,1,"0","4933434E20Rik"
"Ilvbl",0.798689232904024,-0.00182191807126975,0.67,0.681,1,"0","Ilvbl"
"Smchd1",0.799050031401258,0.00771878802995229,0.911,0.907,1,"0","Smchd1"
"Glrx2",0.799477761385629,0.0170379692469862,0.97,0.949,1,"0","Glrx2"
"Erap1",0.799657633789234,0.00694389667351381,0.137,0.143,1,"0","Erap1"
"Nup93",0.799890298968255,0.0243470149535325,0.684,0.705,1,"0","Nup93"
"Ift172",0.800132298372207,0.0274420066122683,0.278,0.286,1,"0","Ift172"
"Sipa1l3",0.800206196312948,0.0301769743335067,0.365,0.377,1,"0","Sipa1l3"
"Cd2ap",0.800574927930034,0.0287515548577746,0.79,0.815,1,"0","Cd2ap"
"Stx1b",0.800765648016529,-0.00384728787680921,0.242,0.249,1,"0","Stx1b"
"Rnf219",0.801181730500857,0.0157446385952755,0.397,0.41,1,"0","Rnf219"
"Rab34",0.801415801103288,-0.0343625343953895,0.881,0.899,1,"0","Rab34"
"Prkg2",0.801499826230307,0.075895274639342,0.067,0.064,1,"0","Prkg2"
"Cavin1",0.801573656395122,0.114843765070087,0.371,0.374,1,"0","Cavin1"
"Pex26",0.801800302215953,-0.0726804066095368,0.073,0.077,1,"0","Pex26"
"Bet1",0.801979229698788,0.0318574579724247,0.868,0.866,1,"0","Bet1"
"Atp2c1",0.80214751722874,0.0331749924940824,0.78,0.813,1,"0","Atp2c1"
"Abcc10",0.802589814751245,0.0429414926578744,0.164,0.159,1,"0","Abcc10"
"Atp1b1",0.802598808812256,-0.0163406416023915,0.427,0.416,1,"0","Atp1b1"
"D1Ertd622e",0.802788069951618,0.0604306153431741,0.74,0.775,1,"0","D1Ertd622e"
"Cdkn2c",0.80280891750526,-0.102886466880805,0.666,0.659,1,"0","Cdkn2c"
"Mtx1",0.803045895814842,-0.0218234481652686,0.931,0.969,1,"0","Mtx1"
"Tulp4",0.803088881912056,0.0198398716043452,0.817,0.822,1,"0","Tulp4"
"Nub1",0.803141564585685,0.00752515231803136,0.638,0.665,1,"0","Nub1"
"Pcdhb9",0.803168941967172,0.184227896427416,0.087,0.084,1,"0","Pcdhb9"
"Vps4a",0.80349113631424,-0.00812815115422427,0.787,0.797,1,"0","Vps4a"
"Cebpz",0.803657001006642,0.0318062309673059,0.905,0.919,1,"0","Cebpz"
"Sntb1",0.803700218900873,-0.0957385751412163,0.061,0.064,1,"0","Sntb1"
"6430573F11Rik",0.803778577987279,0.00514817984198457,0.079,0.075,1,"0","6430573F11Rik"
"Nisch",0.803795614857118,0.00114550384414969,0.999,0.996,1,"0","Nisch"
"B230354K17Rik",0.803916997702766,0.0487040103675035,0.466,0.485,1,"0","B230354K17Rik"
"Enkd1",0.804402502147127,-0.014729556694652,0.458,0.474,1,"0","Enkd1"
"Eif1b",0.804817410604716,0.0166585386886133,0.997,1,1,"0","Eif1b"
"Ddhd1",0.804821796257252,0.130589932825342,0.436,0.452,1,"0","Ddhd1"
"Rtn4ip1",0.805044933682694,0.0675604347019607,0.248,0.244,1,"0","Rtn4ip1"
"Sardh",0.805222254675752,0.0478368849219499,0.661,0.683,1,"0","Sardh"
"Gm7334",0.8055062579628,0.0390299808874799,0.232,0.227,1,"0","Gm7334"
"BC002059",0.805692846236814,0.0614016912431232,0.145,0.141,1,"0","BC002059"
"Eci2",0.805909163690595,0.0170870628053206,0.992,1,1,"0","Eci2"
"Supt4a",0.805949542287137,-0.00449147830118024,0.991,0.991,1,"0","Supt4a"
"1600002K03Rik",0.806042125731225,0.0811344034633119,0.227,0.238,1,"0","1600002K03Rik"
"Fbrs",0.80624900842172,0.0489704885615892,0.505,0.509,1,"0","Fbrs"
"Ubap2l",0.806365707224133,-0.00143277818869425,0.981,0.985,1,"0","Ubap2l"
"Akap5",0.806754555726784,-0.0923762079504566,0.061,0.064,1,"0","Akap5"
"Sap30l",0.806789083876304,0.00101919010652485,0.909,0.912,1,"0","Sap30l"
"Crat",0.806980215630473,-0.00178013872786273,0.627,0.634,1,"0","Crat"
"Tead1",0.807034840159931,0.00132162172453953,0.95,0.96,1,"0","Tead1"
"Nap1l3",0.807273491640094,-0.120582646118695,0.076,0.079,1,"0","Nap1l3"
"Crocc",0.807400376057147,0.0250293015781615,0.135,0.141,1,"0","Crocc"
"Uxs1",0.807596483418569,-0.0139823504860785,0.758,0.795,1,"0","Uxs1"
"Smim4",0.80767178169004,0.0908961666559346,0.53,0.542,1,"0","Smim4"
"Gm17056",0.807824248697987,0.0972445948327758,0.067,0.064,1,"0","Gm17056"
"Trpc3",0.807901188240083,0.047491559635676,0.072,0.068,1,"0","Trpc3"
"Spg7",0.808036708889792,0.0224436176398323,0.826,0.828,1,"0","Spg7"
"Jakmip2",0.80850983039253,0.0887684333575028,0.555,0.562,1,"0","Jakmip2"
"Gle1",0.808562536695717,0.0710164290138955,0.739,0.764,1,"0","Gle1"
"Usp2",0.809102626121343,-0.07066807883758,0.426,0.434,1,"0","Usp2"
"Otulin",0.80915162645435,0.0715593195975061,0.673,0.716,1,"0","Otulin"
"Hist1h2ak",0.809225652890239,-0.0406555097711401,0.073,0.077,1,"0","Hist1h2ak"
"Scfd2",0.80948243915866,0.0219564675285384,0.105,0.101,1,"0","Scfd2"
"Limk1",0.809496549457935,-0.0363165740468028,0.292,0.295,1,"0","Limk1"
"Trpt1",0.810783143261464,-0.0915015822547454,0.244,0.247,1,"0","Trpt1"
"Pip5k1b",0.8108018208904,0.0541368732776881,0.042,0.04,1,"0","Pip5k1b"
"Nudt15",0.810861827205076,0.0163754352652385,0.075,0.079,1,"0","Nudt15"
"Gm6710",0.811046014308854,0.0874303050058198,0.594,0.615,1,"0","Gm6710"
"Osgin2",0.811342409303974,0.0171103257836924,0.356,0.366,1,"0","Osgin2"
"Umad1",0.811623545721464,-0.0957385751412163,0.124,0.128,1,"0","Umad1"
"Nsun6",0.811717726748522,-0.0286696055414293,0.119,0.123,1,"0","Nsun6"
"Zfp69",0.811803920707516,0.0340292998291134,0.076,0.073,1,"0","Zfp69"
"Copz1",0.811931469286376,0.0205604566221549,0.995,0.996,1,"0","Copz1"
"Ggcx",0.811941690793506,0.0232203266026996,0.301,0.295,1,"0","Ggcx"
"Gins4",0.812338438592705,0.0379627193001022,0.827,0.848,1,"0","Gins4"
"AC165953.2",0.812861339095462,0.0575005843862053,0.327,0.339,1,"0","AC165953.2"
"Thap7",0.813403754654978,0.0539853217211761,0.699,0.7,1,"0","Thap7"
"Tet3",0.813906282197296,0.0597698894141128,0.695,0.718,1,"0","Tet3"
"Gm26853",0.81433994699611,0.114437383545503,0.314,0.315,1,"0","Gm26853"
"Polr1d",0.814570339575296,0.00669851293857349,1,1,1,"0","Polr1d"
"Zfp169",0.814720750782947,0.0511028131880549,0.047,0.044,1,"0","Zfp169"
"Foxo3",0.814788001171025,0.0236310992207927,0.378,0.372,1,"0","Foxo3"
"Fbxo25",0.815142549329964,-0.00564560403395689,0.541,0.533,1,"0","Fbxo25"
"Map4k2",0.815214772940073,0.0636959758832196,0.151,0.148,1,"0","Map4k2"
"Ccdc47",0.815712337496814,0.00964646392898905,0.946,0.945,1,"0","Ccdc47"
"1700011H14Rik",0.815790959965604,0.0660790207608457,0.051,0.048,1,"0","1700011H14Rik"
"Cstad",0.815793530625239,0.0219564675285389,0.026,0.024,1,"0","Cstad"
"Klhl36",0.815828937340604,0.0139459247888274,0.239,0.244,1,"0","Klhl36"
"Ctbp2",0.815931249315198,0.074846518543443,0.845,0.879,1,"0","Ctbp2"
"Ppcdc",0.815951694534956,0.070795604992504,0.353,0.352,1,"0","Ppcdc"
"Gm40117",0.816085086389124,-0.147968533913773,0.035,0.037,1,"0","Gm40117"
"Ephx1",0.816094229755261,-0.000292010949958454,0.921,0.914,1,"0","Ephx1"
"Tmem14a",0.816295169081239,0.22393941005027,0.287,0.295,1,"0","Tmem14a"
"B4galnt4",0.816360276420934,-0.0468127646946974,0.169,0.174,1,"0","B4galnt4"
"Tbc1d22a",0.816417811412864,-0.00112714558450255,0.2,0.194,1,"0","Tbc1d22a"
"Zcchc7",0.81683298967348,0.0176481582456574,0.626,0.654,1,"0","Zcchc7"
"Nat9",0.816932593557799,0.0330210768273427,0.658,0.687,1,"0","Nat9"
"Ppargc1b",0.81697625002176,-0.0849587363879736,0.065,0.068,1,"0","Ppargc1b"
"Ccl25",0.817277059445425,-0.021587873343981,0.571,0.57,1,"0","Ccl25"
"Mkrn1",0.817306685097598,0.0397537611288653,0.717,0.729,1,"0","Mkrn1"
"Itpk1",0.817649011312438,0.0621915432540743,0.332,0.344,1,"0","Itpk1"
"Gm14966",0.817780390918576,0.0833570121926814,0.1,0.097,1,"0","Gm14966"
"Wdfy2",0.817843634297169,0.11914438622303,0.306,0.308,1,"0","Wdfy2"
"Spg11",0.817921269023504,0.105254149282573,0.27,0.269,1,"0","Spg11"
"Dpm2",0.818378462424856,0.0219564675285382,0.937,0.941,1,"0","Dpm2"
"Otor",0.818630087637209,-0.282898113999883,0.008,0.007,1,"0","Otor"
"Gnpat",0.8188359681295,0.00438383808058873,0.831,0.866,1,"0","Gnpat"
"Eif2ak1",0.819118171064009,-0.0239798166383206,0.511,0.515,1,"0","Eif2ak1"
"Mrpl55",0.819898346874811,0.0318080599124348,0.905,0.91,1,"0","Mrpl55"
"A830092H15Rik",0.81990667182402,0.0308895922985464,0.051,0.048,1,"0","A830092H15Rik"
"Ggt5",0.820353779933269,-0.0817914573092904,0.07,0.073,1,"0","Ggt5"
"Mfsd4a",0.820354494944427,0.0464787866626075,0.056,0.053,1,"0","Mfsd4a"
"Gm10320",0.820525451002456,-0.0995070449571287,0.091,0.095,1,"0","Gm10320"
"Polr3d",0.820731696347234,0.051759678447948,0.639,0.652,1,"0","Polr3d"
"Nhsl2",0.820935972576494,-0.0512925145021002,0.169,0.172,1,"0","Nhsl2"
"Calcoco1",0.821380412352455,-0.00664415055206879,0.397,0.39,1,"0","Calcoco1"
"Camkv",0.822363696463765,0.0446765440286221,0.06,0.057,1,"0","Camkv"
"Pcif1",0.822856481396381,-0.017749121035312,0.903,0.896,1,"0","Pcif1"
"Zfp597",0.823030862254199,-0.0152210813410019,0.147,0.152,1,"0","Zfp597"
"Rom1",0.823047237701021,-0.127186971777271,0.063,0.066,1,"0","Rom1"
"BC022687",0.823261087360271,0.0327632224851213,0.258,0.253,1,"0","BC022687"
"5031439G07Rik",0.823330843530461,-0.0225657013068548,0.622,0.626,1,"0","5031439G07Rik"
"Eml3",0.824175102401792,0.0315107742417875,0.171,0.167,1,"0","Eml3"
"Tet2",0.824226520119586,0.100332976950153,0.314,0.328,1,"0","Tet2"
"Heatr6",0.824451233807749,0.0344690788420872,0.732,0.76,1,"0","Heatr6"
"Celf2",0.824460755698283,0.000595475564504788,0.949,0.952,1,"0","Celf2"
"Dennd2c",0.824620065263303,0.0295696516384139,0.06,0.057,1,"0","Dennd2c"
"Msrb3",0.824761699304495,-0.0421738698911773,0.092,0.088,1,"0","Msrb3"
"Zfp609",0.824917675683375,0.0201631857054875,0.516,0.513,1,"0","Zfp609"
"Slc2a6",0.825075370670052,-0.0230900122483964,0.15,0.154,1,"0","Slc2a6"
"Gripap1",0.825186163608601,0.0606302456621046,0.642,0.674,1,"0","Gripap1"
"Cyb5d2",0.82525483093676,0.0998313582248596,0.179,0.176,1,"0","Cyb5d2"
"1600020E01Rik",0.825406358161586,0.0754387977993092,0.314,0.311,1,"0","1600020E01Rik"
"Gbx2",0.825599153651549,0.287850527501573,0.191,0.2,1,"0","Gbx2"
"Pms1",0.825638380718697,-0.127504431354058,0.163,0.165,1,"0","Pms1"
"Tmem267",0.825789649183364,-0.0370280970906103,0.323,0.326,1,"0","Tmem267"
"Nup155",0.826010298256186,0.0028645033200862,0.463,0.478,1,"0","Nup155"
"Mbd6",0.826055264737117,0.0210063884419214,0.371,0.383,1,"0","Mbd6"
"Atxn7l1",0.826275931952809,0.0876443705957799,0.423,0.441,1,"0","Atxn7l1"
"Zfp867",0.826705805404427,-0.0253492472498182,0.184,0.189,1,"0","Zfp867"
"Pik3r3",0.827330214669894,0.204357513974131,0.482,0.504,1,"0","Pik3r3"
"Gm17484",0.827335821430096,-0.119135851706061,0.046,0.048,1,"0","Gm17484"
"Paqr9",0.827335821430096,-0.119135851706061,0.046,0.048,1,"0","Paqr9"
"Slc23a2",0.827369912540002,0.0432120275685894,0.286,0.295,1,"0","Slc23a2"
"Il3ra",0.827840975188903,0.0265291973183626,0.185,0.181,1,"0","Il3ra"
"Prrg1",0.828548255053379,-0.0644582842889347,0.275,0.28,1,"0","Prrg1"
"Kbtbd3",0.82866196807856,0.00238092919177779,0.205,0.211,1,"0","Kbtbd3"
"Gm6712",0.828841559368225,-0.0957385751412163,0.063,0.066,1,"0","Gm6712"
"Csgalnact2",0.828878658666045,-0.00156625532488519,0.208,0.214,1,"0","Csgalnact2"
"Ncoa4",0.829390484591141,0.0353663666911648,0.774,0.819,1,"0","Ncoa4"
"Snhg20",0.82953337117217,-0.0345811767530489,0.629,0.623,1,"0","Snhg20"
"Cox18",0.829650689041483,-0.0100244961303665,0.801,0.811,1,"0","Cox18"
"BC003965",0.830028884370024,0.0335009755690292,0.901,0.912,1,"0","BC003965"
"Ccdc124",0.83007132203166,0.0111935151403424,0.993,0.989,1,"0","Ccdc124"
"Zcchc2",0.830129981939116,0.00531271140866663,0.256,0.262,1,"0","Zcchc2"
"Jak1",0.830333184118101,0.0184590232923113,0.796,0.833,1,"0","Jak1"
"Lamc1",0.830485429498236,-0.0112858788029995,0.838,0.866,1,"0","Lamc1"
"Chst10",0.830767508723272,-0.0929712564393581,0.221,0.225,1,"0","Chst10"
"Wars",0.830792065249415,0.0420096944316686,0.73,0.771,1,"0","Wars"
"Unc13b",0.830805715110753,0.154895299346667,0.16,0.159,1,"0","Unc13b"
"Nfrkb",0.831695449253977,0.0442878345985758,0.522,0.546,1,"0","Nfrkb"
"Adamts17",0.832237438039288,0.0789464461133682,0.084,0.081,1,"0","Adamts17"
"Prrc2c",0.832485751026373,0.00638893763359683,0.997,1,1,"0","Prrc2c"
"Coa6",0.832746560169294,0.0080289780670445,0.768,0.769,1,"0","Coa6"
"Svep1",0.833081253766381,0.0611916308116389,0.12,0.117,1,"0","Svep1"
"Sphk1",0.833733270277538,0.0219564675285389,0.04,0.037,1,"0","Sphk1"
"Ccdc171",0.833898191261171,-0.0671694229444455,0.063,0.066,1,"0","Ccdc171"
"Zc3h11a",0.833965645661904,-0.100900280256995,0.057,0.059,1,"0","Zc3h11a"
"Scnm1",0.834134199889892,-0.00945322826750508,0.56,0.577,1,"0","Scnm1"
"Ccnh",0.834143844807886,-0.0132107464210593,0.943,0.945,1,"0","Ccnh"
"Sema4d",0.834152797094866,-0.144940841216206,0.033,0.035,1,"0","Sema4d"
"Prr5l",0.834409288668872,0.00412781411525147,0.436,0.445,1,"0","Prr5l"
"Mettl5",0.834410512744283,0.000185844857319206,0.634,0.639,1,"0","Mettl5"
"Ncdn",0.834537809216285,0.128497746725562,0.486,0.502,1,"0","Ncdn"
"Rxra",0.835491919818378,0.00232766077960611,0.275,0.269,1,"0","Rxra"
"Mpp7",0.835644098744856,-0.00941644791455565,0.383,0.388,1,"0","Mpp7"
"Zfp612",0.836000306017937,0.0643589098903217,0.184,0.181,1,"0","Zfp612"
"Gapvd1",0.836007021011401,-0.0210511115589522,0.936,0.952,1,"0","Gapvd1"
"Coa5",0.836092715747638,0.0328265527474562,0.767,0.808,1,"0","Coa5"
"Ldlrad4",0.836996773957425,-0.0670626792027008,0.37,0.372,1,"0","Ldlrad4"
"Dagla",0.837134061336794,0.021956467528538,0.044,0.042,1,"0","Dagla"
"Atxn2l",0.837686280628788,0.0205371904432043,0.848,0.87,1,"0","Atxn2l"
"Svil",0.837774405533696,0.122597231168637,0.474,0.491,1,"0","Svil"
"Ngly1",0.837819690793676,0.016345044503604,0.537,0.548,1,"0","Ngly1"
"Spata33",0.837964634590982,-0.0883255874863722,0.068,0.07,1,"0","Spata33"
"Frg2f1",0.837974739597992,-0.124884920800733,0.061,0.064,1,"0","Frg2f1"
"Tomm6",0.838337829441864,0.0723858943716786,0.422,0.425,1,"0","Tomm6"
"Pex19",0.838475581678612,0.00442507384412572,0.741,0.775,1,"0","Pex19"
"Baiap2",0.83933581114457,-0.00728581895824132,0.743,0.718,1,"0","Baiap2"
"Elovl5",0.839355056986333,0.0279469053709211,0.863,0.852,1,"0","Elovl5"
"Stambp",0.839374825469205,0.0846922228765012,0.341,0.341,1,"0","Stambp"
"Gigyf2",0.839540641222839,0.00958876749808069,0.818,0.841,1,"0","Gigyf2"
"Mrps34",0.839840017690051,0.0317282133726939,0.987,0.982,1,"0","Mrps34"
"Cpxm1",0.840043477169425,0.00765625571597921,0.557,0.584,1,"0","Cpxm1"
"BC037039",0.840126563387129,0.0639796824242453,0.122,0.119,1,"0","BC037039"
"Siah2",0.84080524229758,0.0147939416341219,0.534,0.518,1,"0","Siah2"
"Tmem86a",0.841865604675729,-0.0053641384709735,0.19,0.185,1,"0","Tmem86a"
"Cptp",0.841943810501345,0.0752648638620451,0.477,0.48,1,"0","Cptp"
"Alad",0.842104021122713,0.0110931043843568,0.767,0.819,1,"0","Alad"
"Snx25",0.842104638519002,0.0547050498682504,0.371,0.372,1,"0","Snx25"
"Mfsd12",0.842159944102353,0.107686341554422,0.189,0.187,1,"0","Mfsd12"
"Fbf1",0.842681820563603,0.0805203600231468,0.358,0.374,1,"0","Fbf1"
"Ccdc59",0.842790938324056,0.0226836934739825,0.963,0.967,1,"0","Ccdc59"
"Dhx29",0.843141798321999,0.0935720556220161,0.497,0.511,1,"0","Dhx29"
"Map6d1",0.843445147064662,0.021956467528538,0.058,0.055,1,"0","Map6d1"
"Mycbp2",0.843721669685236,0.00551957771786471,0.82,0.839,1,"0","Mycbp2"
"A430105I19Rik",0.843781854559618,0.0188770745965665,0.134,0.139,1,"0","A430105I19Rik"
"Aplf",0.844326886430755,0.0876443705957799,0.183,0.181,1,"0","Aplf"
"Tor3a",0.84526055216879,-0.0574779999658666,0.205,0.209,1,"0","Tor3a"
"Jrkl",0.846028645651907,0.0974003345685439,0.282,0.293,1,"0","Jrkl"
"Gdap1",0.846358774947439,-0.153130239029553,0.038,0.04,1,"0","Gdap1"
"Usp27x",0.846381114444278,-0.0817914573092904,0.072,0.075,1,"0","Usp27x"
"Anxa2",0.846836622616088,0.107122182766946,0.56,0.566,1,"0","Anxa2"
"Rnf187",0.847114340610261,-0.00751455740399143,1,1,1,"0","Rnf187"
"Idh3a",0.84729160882254,0.00995061426838451,0.978,0.98,1,"0","Idh3a"
"Vash2",0.847308771712083,0.0552189216602867,0.181,0.187,1,"0","Vash2"
