"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hoxa5",1.15037570185118e-23,0.692042659626159,0.912,0.835,1.82012443546894e-19
"Slc25a16",1.20179804961945e-23,-1.14033840509995,0.202,0.427,1.9014848741079e-19
"Thra",1.21702433308011e-23,0.505921037192488,0.982,0.942,1.92557589979935e-19
"Coro2b",1.79705595569261e-23,0.585544891957052,0.953,0.885,2.84330193309685e-19
"Pdpn",2.08616426145191e-23,-1.43099226051126,0.202,0.414,3.30072909446921e-19
"Hnrnpd",2.17600429591105e-23,-0.360026140207514,0.998,1,3.44287399699046e-19
"Rpl31",2.20082647656412e-23,-0.173648143075957,1,1,3.48214765121975e-19
"Hist1h2ac",2.56152985845411e-23,-2.04956276049758,0.098,0.27,4.05285254204609e-19
"Pbx3",2.64529189916319e-23,-0.816814310373339,0.456,0.69,4.185380842856e-19
"Dll3",2.67276744149084e-23,-1.89306923293637,0.133,0.316,4.22885264592681e-19
"Peg3",2.87769445955413e-23,-0.793645186078295,0.734,0.891,4.55308817390654e-19
"Arf4",3.93607057318141e-23,0.28982626445109,1,1,6.22765086088762e-19
"Fbl",3.95301354909455e-23,-0.332042349524104,0.998,0.998,6.25445803737739e-19
"Fam19a5",5.02403689594715e-23,0.631730342455381,0.915,0.817,7.94903117676759e-19
"Spon1",5.05731087191857e-23,0.591432980434774,0.943,0.863,8.00167726154956e-19
"Rnf2",5.88104250322399e-23,-0.602757112227157,0.697,0.863,9.304985448601e-19
"Csf2ra",6.59456748710529e-23,2.10880026977553,0.286,0.072,1.0433924678098e-18
"Psma3",7.34567506238168e-23,-0.178725884517747,1,1,1.16223270837003e-18
"Cd302",7.58839117770943e-23,-1.00667694764441,0.266,0.489,1.20063525213719e-18
"Aard",8.04055874185077e-23,1.07084792984137,0.67,0.499,1.27217720413563e-18
"Mmp16",9.05837940173234e-23,2.34067374412286,0.245,0.044,1.43321678894209e-18
"Ddost",1.14393540761744e-22,0.306490922735016,0.999,0.998,1.80993460193231e-18
"Mmp14",1.31132426900694e-22,1.41747919624536,0.441,0.207,2.07477725842278e-18
"Ahsa2",1.31733216568497e-22,-0.442408730802786,0.901,0.978,2.08428295254676e-18
"Pla2g7",1.39798294051835e-22,3.14081066467815,0.297,0.089,2.21188860848814e-18
"Nespas",1.40830343730229e-22,-1.53917202847143,0.102,0.278,2.22821769849968e-18
"Zfp365",1.65406255629193e-22,-1.04689404772081,0.274,0.499,2.61705777656508e-18
"Cox4i1",2.33389869250166e-22,0.14257439874819,1,1,3.69269451127613e-18
"Uqcr11",3.50371816303563e-22,0.20818343460306,1,1,5.54358287755497e-18
"St8sia2",3.56288487873264e-22,-1.83004418769064,0.069,0.223,5.63719645513078e-18
"Gcc2",3.65316797637478e-22,-0.92389927185995,0.369,0.602,5.78004237222018e-18
"Abhd4",3.86640572004504e-22,0.500701270256437,0.951,0.887,6.11742713025527e-18
"Hnrnph1",3.9070428250026e-22,-0.373910314324516,0.983,0.99,6.18172315771911e-18
"Sorcs1",3.95473008339476e-22,0.971187135400947,0.661,0.455,6.25717393794719e-18
"Apex1",6.44028821546478e-22,-0.377631824673887,0.986,0.992,1.01898240145084e-17
"Mdga2",7.17719090554113e-22,0.807957355874453,0.765,0.626,1.13557514507472e-17
"Fuca1",1.09357803513953e-21,0.382567688169708,0.987,0.976,1.73025916719777e-17
"Ntm",1.11590038537953e-21,-1.78174233174551,0.1,0.268,1.7655775897475e-17
"A2m",1.36475467572426e-21,1.5929509402585,0.437,0.217,2.15931484793093e-17
"Rbbp7",1.36578444161566e-21,-0.314125138933629,0.993,0.998,2.16094414352429e-17
"Psma5",1.43204691037884e-21,-0.230924679915681,1,1,2.2657846216014e-17
"Stip1",1.50182907991829e-21,-0.350239617710611,0.989,0.996,2.37619397024671e-17
"Dap",1.60775660343469e-21,0.715486900361116,0.805,0.65,2.54379249795437e-17
"Rrbp1",1.71841373238687e-21,0.34751146675345,0.999,0.998,2.71887420738251e-17
"Sptan1",1.83134390721438e-21,0.467435415501866,0.989,0.958,2.89755232999459e-17
"Acsl3",2.10883407480085e-21,-0.587208439591358,0.827,0.905,3.33659727314991e-17
"Tslp",2.42885684707744e-21,-1.95136957596531,0.05,0.185,3.84293730344592e-17
"Mgst3",2.51843454521531e-21,1.1136172860733,0.518,0.292,3.98466713743966e-17
"Sf3a3",2.67020382875443e-21,-0.441601675583534,0.939,0.976,4.22479649785527e-17
"4933431E20Rik",3.57059472620021e-21,3.33694621834227,0.184,0.014,5.64939497579397e-17
"Aamdc",3.63066602530223e-21,0.53494628800256,0.963,0.954,5.74443978523319e-17
"Bicc1",3.88165201802577e-21,-0.932676366200632,0.359,0.573,6.14154982292037e-17
"Rps5",3.97557679330898e-21,-0.121985106113562,1,1,6.29015760237346e-17
"Rps28",3.98593581481885e-21,-0.176240356276217,1,1,6.30654764620639e-17
"Atox1",4.16657644562055e-21,0.265141635514992,1,1,6.59235725226084e-17
"Airn",4.39491478910346e-21,1.46607604949072,0.371,0.147,6.95363417931949e-17
"Nrk",4.61625203347925e-21,-1.67680683162824,0.08,0.237,7.30383396737086e-17
"Gpi1",6.24174424965052e-21,0.339595485884249,1,1,9.87568775179705e-17
"Epha5",6.32251475688894e-21,0.691851775240744,0.923,0.881,1.00034828483497e-16
"Rps16",6.84114961478552e-21,-0.105924460185628,1,1,1.08240669205136e-16
"Rpl5",7.43532808072049e-21,-0.13508410443746,1,1,1.1764176089316e-16
"Tet1",7.63207956271624e-21,-0.980141224802461,0.304,0.521,1.20754762841296e-16
"Ccdc91",9.1790682237834e-21,-0.854673854199358,0.314,0.541,1.45231217436701e-16
"Rab28",9.45002078505219e-21,-0.550780588742414,0.78,0.899,1.49518228861096e-16
"Sowahc",1.00550192772839e-20,-1.11691250985253,0.227,0.431,1.59090515005185e-16
"Gdf15",1.04805222968596e-20,-4.21456979928574,0.012,0.097,1.65822823780913e-16
"Tkt",1.08911170856639e-20,-0.246405170594302,1,1,1.72319254529374e-16
"Psma6",1.15331955249764e-20,-0.236304476392856,1,1,1.82478219596176e-16
"Grb10",1.20801326283131e-20,-3.24699127697812,0.013,0.099,1.9113185844517e-16
"Msn",1.29243221935169e-20,0.407436128033195,0.994,0.982,2.04488625745824e-16
"Ccdc141",1.33608070771359e-20,-1.05511730270216,0.274,0.485,2.11394689574444e-16
"Nrgn",1.37032845958499e-20,-0.970820549808438,0.691,0.827,2.16813368875537e-16
"Igf2r",1.40568611456535e-20,-1.10777914278942,0.636,0.716,2.2240765704653e-16
"Cct5",1.64537157512936e-20,-0.191951501904547,1,1,2.60330690616967e-16
"Ddx39",1.7749196365138e-20,-0.440931360552351,0.949,0.974,2.80827784889214e-16
"Ebf3",1.79154910364545e-20,-1.0943992897572,0.411,0.594,2.83458899178783e-16
"Gng2",1.8661216425059e-20,-0.637095358153731,0.683,0.845,2.95257766277283e-16
"Nudt21",2.04837081038499e-20,-0.296601493086844,0.998,1,3.24093229619114e-16
"Gas6",2.0846301984267e-20,-0.546920045468786,0.844,0.946,3.29830189995072e-16
"Sema6d",2.11048133368983e-20,0.525482803486756,0.96,0.879,3.33920356616405e-16
"Gria4",2.17942786469004e-20,1.46909089916762,0.432,0.217,3.44829076751258e-16
"Bcan",2.19517627751282e-20,0.338742525999821,0.999,1,3.47320790628078e-16
"1110008P14Rik",2.25240762374793e-20,0.612638649323078,0.925,0.819,3.56375934229397e-16
"Pou3f2",2.48798562294297e-20,-0.80905705428672,0.547,0.732,3.93649085262037e-16
"Gng5",2.54714719543752e-20,0.169076034633543,1,1,4.03009629262125e-16
"Ppib",2.85123653015728e-20,0.170084464919269,1,1,4.51122643801485e-16
"Meox1",2.94147590828885e-20,-2.49952124637713,0.048,0.175,4.65400318209462e-16
"Gpat2",3.78826548571965e-20,6.79206484410849,0.15,0,5.99379365150563e-16
"Dna2",4.09908666211492e-20,-1.37647135379703,0.166,0.352,6.48557491679823e-16
"Hmgb3",4.21313983837647e-20,-0.439902069082954,0.984,0.994,6.66602985227924e-16
"Slc16a2",4.44146981559602e-20,-0.470301205165225,0.951,0.962,7.02729354223603e-16
"Gstm1",5.3178907464331e-20,0.457118522859945,1,0.99,8.41396673900645e-16
"Gm10073",5.81315088788172e-20,0.363167474905903,0.987,0.968,9.19756733480646e-16
"Atp1a1",5.99746012146505e-20,0.523196328926032,0.995,0.992,9.489181404182e-16
"Cadm1",6.31568572014398e-20,-0.744089127494691,0.509,0.708,9.99267794641181e-16
"Ruvbl2",7.61752761414825e-20,-0.434072015935392,0.882,0.96,1.20524521911054e-15
"Ppp1ca",8.71648249431103e-20,-0.207503192539829,1,1,1.37912186024989e-15
"Txnrd1",8.72312692993801e-20,-0.438704497111973,0.904,0.962,1.38017314285479e-15
"2010107E04Rik",8.92479950321097e-20,0.231353452059491,1,1,1.41208177739804e-15
"Hcfc1r1",8.94823621101393e-20,0.59606609660955,0.879,0.783,1.41578993330662e-15
"Psmd1",9.71387756406814e-20,-0.29170035725126,0.998,0.998,1.53692970818686e-15
"Gsta4",9.78803338915153e-20,0.582985292471107,0.871,0.744,1.54866264283156e-15
"Rpl35a",1.04683352092999e-19,-0.116822239360328,1,1,1.65629999681544e-15
"Pcbp4",1.10617485653492e-19,-0.47581628165055,0.935,0.968,1.75018985800955e-15
"Selenok",1.22147005768351e-19,0.216456763536675,1,1,1.93260992526685e-15
"Ndrg2",1.25701317166533e-19,1.52383776905437,0.478,0.268,1.98884624020888e-15
"Tmem160",1.52445908516953e-19,0.308685788592926,0.997,0.986,2.41199916455523e-15
"Trib2",1.52964150314207e-19,0.577037546908188,0.877,0.769,2.42019878627138e-15
